,customer_id,purchase_date,purchase_total
0,9b292760-5731-4595-90bb-5d4be8dc3ca0,2021-01-06 18:48:49,138530
1,e193fda3-7344-45f7-a89c-7cc5f70a0da2,2021-01-22 14:57:25,320286
2,84e89fbe-09ff-4706-bc21-38e243737a00,2021-01-16 20:43:22,49300
3,f7cb02f3-3ac0-48ad-8f01-2b323190aa60,2021-01-20 14:06:09,130938
4,100966d8-5609-43c8-b70a-6f66815d0828,2021-01-22 21:18:28,430192
5,2f985abb-6014-47eb-9460-d43267367c61,2021-01-22 00:24:33,88619
6,aefc5b2a-0798-47c2-a7ae-1d925cde7f40,2021-01-27 23:37:06,53399
7,83669614-f711-4f43-a345-5e28ab4daf2f,2021-01-13 22:54:49,390002
8,19adb714-c04a-4a71-b572-c890124de9e3,2021-01-25 00:36:20,249610
9,bc7f8929-0b97-4d7d-a08e-5635036dc674,2021-01-06 19:51:05,648183
10,3b533b85-9a04-461e-9c7b-9ecb559951f8,2021-01-15 11:52:34,298163
11,debc0576-6a11-47da-a3a1-42b72e7c1239,2021-01-02 23:13:09,624862
12,99450ba4-b781-472e-a3a7-ed2b968bfbce,2021-01-05 05:09:36,332965
13,df599948-13ec-42f5-bb04-9b822eef7701,2021-01-06 14:32:29,50125
14,101a5c65-0545-4dc3-a920-206e926ca44f,2021-01-23 10:00:20,415141
15,38734b11-cea5-46b1-a53c-be2bd6ce2f94,2021-01-09 10:16:19,100724
16,277f00aa-bdfb-4c9a-ad2c-370d59789bc0,2021-01-24 13:23:22,42275
17,948bec16-64c3-4447-91b3-9f6ef9ee1366,2021-01-25 10:01:17,555983
18,43eb29e8-ffe5-4f99-8a14-b5afb012eff8,2021-01-02 10:48:24,67283
19,51e86309-491b-4364-a4e1-455b2cc8b7e2,2021-01-07 15:38:51,255909
20,d839f460-9978-4166-a084-e2c4822ca9b9,2021-01-24 11:29:40,225677
21,52b82ec2-8527-4a48-9d4c-679c245b1f27,2021-01-19 20:47:58,677247
22,dc1112be-ab82-4d39-8a2f-8959c0eff89a,2021-01-14 00:49:43,294283
23,2006cbd3-65c8-4b58-97c9-26d39685ce80,2021-01-08 05:02:42,354221
24,f7cb02f3-3ac0-48ad-8f01-2b323190aa60,2021-01-04 08:58:13,732951
25,59b2ce1d-a14c-4ed6-8df9-33501caceadb,2021-01-19 22:47:23,7847
26,6ef78c14-d348-4193-802c-fa5e44454472,2021-01-20 07:54:14,552528
27,9136859a-bf00-4b48-a382-039f0c63f0bb,2021-01-03 16:51:46,31850
28,010840fe-9f4c-4020-b66e-41d64b0a8cd3,2021-01-15 01:35:55,87901
29,38734b11-cea5-46b1-a53c-be2bd6ce2f94,2021-01-30 07:18:10,116576
30,c1c20c22-ace4-4f03-8db1-99a3d0d0ffdd,2021-01-16 00:24:04,169540
31,4bd6b386-931d-4e0b-8116-84533ce31202,2021-01-08 08:34:05,598275
32,38044339-a75b-4a64-a7ad-bc90415268e8,2021-01-07 20:55:59,226359
33,71070b13-e3d6-4264-b04b-155eef2d43a1,2021-01-10 20:08:22,286863
34,c3ddf77a-e271-40a1-82c1-bf8d81805985,2021-01-01 17:29:34,427432
35,aefc5b2a-0798-47c2-a7ae-1d925cde7f40,2021-01-10 00:56:29,83556
