,customer_id,purchase_date,purchase_total
0,e5a847a3-a1a7-4e5d-9ac2-d7730d1a1cd9,2021-01-02 19:38:03,413652
1,fdcb0a0c-407d-4b69-b096-3d8b5f7d898c,2021-01-06 10:26:01,261698
2,b883bc64-fe1e-4513-ab7c-a348c1dcc8cc,2021-01-23 05:18:28,159958
3,4c9c2854-26a0-4417-aa11-1261b652d7e6,2021-01-19 09:18:08,268388
4,c10fb58b-ae75-488c-9e58-71c575b42d9e,2021-01-04 22:47:19,361155
5,126dce8a-8627-4391-afbc-0af0b4710c72,2021-01-26 08:47:04,27556
6,4ab4a30e-3964-45fb-b7b0-f44138d15be8,2021-01-30 01:31:16,230305
7,0cd915d3-7daa-4615-8bc5-23243247098a,2021-01-03 03:25:55,957218
8,89197bb8-0759-4188-bd32-b29d42b083d5,2021-01-19 06:13:59,177814
9,77b69218-3c59-48e7-983d-dde050cfbc95,2021-01-20 14:35:02,189043
10,88a6e5d2-1d49-4e47-a597-ac36e94e4d08,2021-01-22 09:50:57,198735
11,8990579e-0f29-4603-9b37-8ec76b13f87f,2021-01-10 05:26:19,3323
12,262fb3d3-61b8-4dcc-8e61-0706f38d4558,2021-01-07 08:21:40,685963
13,8a137e6b-cf94-43ad-861d-ca5889c2640b,2021-01-16 01:44:29,303185
14,3a2633fb-91a9-45ab-a13e-8aa9d146b579,2021-01-30 09:22:36,234196
15,89e863b7-4c4e-4ac9-a796-7ddacf5ae459,2021-01-27 08:31:15,154550
16,68dd5b98-eebe-4f92-8b1e-3e6063a320b0,2021-01-01 07:06:41,29860
17,573bfa5b-a551-4386-b6b1-33f9dd13ce0a,2021-01-17 21:13:05,71085
18,44f6fe43-ddbd-425c-be47-7a51093faa0b,2021-01-28 16:41:23,270049
19,02cae277-aba8-48a6-b5c5-66b44fb947e5,2021-01-01 10:49:58,232967
20,dc14b211-e0de-4449-bfdb-b4ebf1c03ac7,2021-01-11 02:52:25,340385
21,77b69218-3c59-48e7-983d-dde050cfbc95,2021-01-12 06:44:17,10668
22,4ab4a30e-3964-45fb-b7b0-f44138d15be8,2021-01-18 04:32:04,115643
23,2a19678c-59c6-437b-86cf-660e38611c7e,2021-01-18 12:43:20,194421
24,d2ded0d0-5d0a-4cf6-9117-dde352904648,2021-01-28 11:19:54,79917
25,4fdf7492-6bd0-4d9e-ac10-eaeac692e5e7,2021-01-22 20:07:14,111280
26,c8eddae3-6ee3-4165-b069-9f4191f880ac,2021-01-22 19:56:05,145192
27,6bcc6bd7-8296-4028-b412-870c08f5cbe0,2021-01-23 08:46:42,404344
28,b402c52f-a7c2-43ec-bd39-863a1100ee9a,2021-01-13 22:41:32,570519
29,e475dc7b-1d83-48cf-bc83-e679331d7551,2021-01-25 21:41:47,195799
30,151b6fa8-4323-4071-8f55-a7e5cc9788a7,2021-01-06 17:56:47,232749
31,e45239a2-79a4-49c5-a6be-90061723a2b1,2021-01-17 11:05:29,81570
32,3a2633fb-91a9-45ab-a13e-8aa9d146b579,2021-01-09 14:53:20,317374
33,71e7b756-c49a-4186-9885-2af598788cfd,2021-01-20 04:04:02,267764
34,662cd555-c10e-45cf-b6ae-3e694c6bda86,2021-01-18 03:25:26,161175
35,4c9c2854-26a0-4417-aa11-1261b652d7e6,2021-01-15 07:43:35,84710
36,0370f362-d3a5-4ab1-a577-37ec4c05b31c,2021-01-10 06:07:15,21775
37,9e7c7f31-a665-4c23-9d09-6604258a5bc9,2021-01-25 00:50:54,932720
38,7cdef65b-6671-41c9-ad25-c5cedf0b5c6f,2021-01-29 15:20:33,96219
39,b402c52f-a7c2-43ec-bd39-863a1100ee9a,2021-01-23 13:31:21,64915
40,df6f1559-6dbb-4b5a-8dfb-87f000d5e926,2021-01-18 01:52:15,60332
41,63077f36-eb0f-424e-bf1e-341bc1f2a9c2,2021-01-06 20:13:21,220469
42,bc26eff8-9b97-4fad-8ec4-c0d184089409,2021-01-09 06:27:56,251705
43,08e55792-7ebe-47c0-a00a-97b07a7ff5d4,2021-01-18 20:01:09,93013
