,customer_id,purchase_date,purchase_total
0,3170dfec-55ab-48d9-b5fc-b6a3b5d0ff03,2021-01-15 12:36:26,154796
1,27ba3663-9415-4717-a632-edf8364e970f,2021-01-23 01:37:03,86104
2,cadc2048-702b-4439-a70a-3137a812a23f,2021-01-04 17:28:46,737285
3,23044e82-4979-4d7f-beae-9fb21560966f,2021-01-05 14:01:46,337824
4,b636f71b-0a87-4671-810f-0524b2d4bc91,2021-01-20 00:40:05,36754
5,cadc2048-702b-4439-a70a-3137a812a23f,2021-01-06 09:59:02,300992
6,2f7c2a9b-4015-48c7-9d80-77b5616c5c9c,2021-01-05 21:13:39,147043
7,aba205db-47c4-47a9-842c-30a99e6ef205,2021-01-15 00:16:51,116662
8,a2b68264-4b8f-497d-af9c-1ac691e44fcb,2021-01-15 00:45:26,198749
9,695c1db2-80db-42e4-876c-f681ceb0d44c,2021-01-09 22:40:32,120367
10,22d588d0-0153-4feb-a754-483141a9723d,2021-01-12 20:31:32,198142
11,3dee724e-b520-4c11-b4b7-3f444e06264e,2021-01-14 04:46:19,242001
12,9a839d45-326e-49d1-90ce-43aec7a29230,2021-01-21 07:38:48,285120
13,2ae0f12e-c1af-4392-a358-97ef29c58948,2021-01-08 04:26:28,549766
14,c375ca9d-6445-46bc-b6cf-15dfa43a15c2,2021-01-09 19:36:19,73113
15,1702e134-1313-49ad-9331-008c9a23f771,2021-01-18 03:51:41,149638
16,f54dc054-f22d-4fb7-9149-ff84d9c74e43,2021-01-07 16:28:38,289199
17,c6775a76-d73e-429c-8ac6-cfb2e1839098,2021-01-16 18:04:13,465496
18,477acd36-7a3b-47aa-99bd-3d9faf89dafa,2021-01-03 19:20:19,90069
19,058113f4-f92b-436a-a056-de6f82ce4ab3,2021-01-14 20:44:25,28435
20,1eabd2a3-5384-437a-9455-27798b632c69,2021-01-17 20:21:45,165882
21,5041053d-a39d-40e5-9555-a4e54587b8b2,2021-01-20 20:16:37,91144
22,f54dc054-f22d-4fb7-9149-ff84d9c74e43,2021-01-23 16:01:10,33537
